index,gene_names,weighted_max,weighted_sum,abs_sum
1667,LGALS7 /// LGALS7B,0.139456302,1.619348526,1.619348526
774,CD300A,0.115911677,-1.619748294,1.619748294
2278,GFPT2,0.127393998,1.62525776,1.62525776
5801,ADAMTS20,0.104727156,1.627712727,1.627712727
2986,ZNF529,0.078728691,-1.629564255,1.629564255
5948,EXOSC3,0.12065132,-1.631759644,1.631759644
5694,GLB1L2,0.191476226,-1.639123678,1.639123678
3700,DDX25,0.043239444,-1.639775276,1.639775276
569,THBD,0.084592059,-1.657282352,1.657282352
4741,ATL1,0.116241112,1.658481956,1.658481956
1945,P2RX5,0.110883825,1.659362316,1.659362316
462,CFD,0.119303599,-1.660180092,1.660180092
222,SERPINA3,0.101602063,1.670454502,1.670454502
3742,LILRA6,0.081776232,1.6746521,1.6746521
1348,LYPD3,0.124732018,1.682741642,1.682741642
3686,FAM125A,0.235951833,-1.684545308,1.684545308
5040,RAD54B,0.14875108,-1.68551302,1.68551302
748,FCGR3B,0.07599549,1.686540604,1.686540604
2307,TGM1,0.070437424,1.689495087,1.689495087
907,ETS1,0.13546256,1.691283166,1.691283166
891,ANK2,0.12772695,-1.692243338,1.692243338
5292,TRIM73,0.001999781,1.692381412,1.692381412
1218,KRT13,0.124306455,-1.696091175,1.696091175
1251,BST1,0.091396652,-1.718584538,1.718584538
1570,CD93,0.087485552,-1.719152927,1.719152927
2500,NINJ2,0.171382472,1.72025001,1.72025001
1962,PGCP,0.116751276,1.721639633,1.721639633
1440,DEPDC1,0.168372624,1.738637805,1.738637805
1058,FRZB,0.185961619,-1.739999294,1.739999294
475,PSMB8,0.097194485,-1.745267868,1.745267868
2456,LRG1,0.137854248,-1.751217425,1.751217425
557,OLFM4,0.056847155,-1.751524448,1.751524448
1294,BIK,0.161375761,1.752672076,1.752672076
840,IQCJ-SCHIP1 /// SCHIP1,0.211795494,-1.762946606,1.762946606
4603,SEMA3G,0.241143264,1.770276427,1.770276427
3907,ABCD3,0.123978525,-1.772737503,1.772737503
354,SERPINH1,0.104764484,-1.773394585,1.773394585
1930,LOC91316,0.059273496,-1.77773571,1.77773571
3969,ZBTB8A,0.098374404,-1.78151083,1.78151083
